Experiment: MI_protein_melt_kinase_expression_panel_plate1_20180327  Selected Filter: Sypro Orange (465-580),,,,,
Include,Color,Pos,Name,Tm1,Status
TRUE,255,C5,Sample 53,51.59,* - Manually edited
TRUE,255,C6,Sample 54,60.87,* - Manually edited
TRUE,255,C12,Sample 60,56.04,* - Manually edited
TRUE,255,D1,Sample 73,51.08,* - Manually edited
TRUE,255,D3,Sample 75,49.47,* - Manually edited
TRUE,255,D9,Sample 81,58.15,* - Manually edited
TRUE,255,D10,Sample 82,58.38,* - Manually edited
TRUE,255,E5,Sample 101,57.09,* - Manually edited
TRUE,255,G5,Sample 149,28.79,* - Manually edited
TRUE,255,H5,Sample 173,57.24,* - Manually edited
TRUE,255,H6,Sample 174,51.96,* - Manually edited
TRUE,255,H7,Sample 175,58.07,* - Manually edited
TRUE,255,H8,Sample 176,46.53,* - Manually edited
TRUE,255,H11,Sample 179,44.87,* - Manually edited